token,score
ot,1755.3816920026434
lord,1453.5086875655202
king,1387.1970755560706
jesu,1354.5259192531325
israel,1299.071940255336
god,975.1055774684407
son,856.8903931356817
christ,753.8360494635983
believ,746.9681234275583
land,669.7347976665411
nt,664.6246826631725
offer,645.383176190689
muhammad,563.5184669560233
hous,554.271078602892
faith,527.5689262610587
torment,486.2604558460604
receiv,471.4375437116628
judah,464.80530864336254
david,438.18245986788224
discipl,359.3230127504944
revel,345.9419551663582
quran,344.9506182949799
suffer,336.76641893444935
children,336.04489045757305
hand,324.08711001797934
citi,319.2944607059267
thing,315.9967981557633
unbeliev,313.7266399148309
messeng,301.622439785144
forgiv,297.37894194415554
truth,289.3456508810933
egypt,281.6765783643929
year,278.728340062214
deed,266.6714869077065
disbeliev,264.6603881745967
guidanc,262.95807925099757
hundr,261.7237895116007
unjust,255.89236136185707
preach,253.7296037388753
reveal,241.63699922900702
true,228.70153372224598
world,227.15105352632918
reward,221.8409528990408
peter,220.05470477438374
paul,218.56784866104334
creat,218.3340249175675
daughter,217.1665560473956
hell,215.8181133157167
evid,209.51313968002398
altar,203.36224892334073
know,196.26500696093686
angel,192.76820078903472
worship,187.57261761150983
john,187.3438702808943
priest,185.0988136307554
follow,185.08120901583447
life,183.38868689548843
sure,181.96346047313924
sword,175.31828921150725
hour,173.48368317540908
host,173.47574830473815
saul,172.44144552283834
philistin,172.1753690240141
gold,165.9123998734525
levit,165.7706795395422
reject,164.1482257017139
guid,158.49965826651112
burnt,158.0523219941853
men,158.02342010947297
grant,157.73371191686186
gospel,156.11989190074524
thousand,155.99964515734914
repent,154.05396592108056
ask,152.7941824020639
promis,152.4273216014564
jerusalem,151.85607890700723
aaron,151.52529493657
repli,150.7870882373526
church,150.1724674473835
twenti,148.31998467781997
iniqu,148.05824554894724
cubit,147.80521793586846
babylon,147.65525904749586
camp,147.5036655811891
set,145.16168070852888
tabernacl,144.29568144014874
want,138.90456352662497
exist,138.90456352662497
man,136.6639174201195
immedi,136.47343055580566
miracl,135.93424674169805
equal,133.53164367237054
satan,132.51773582073602
resurrect,132.33019408729834
pharise,132.33019408729834
place,132.06724473340648
silver,131.77089386842658
joshua,130.51522853294722
deni,129.17710655352178
human,126.32389045705247
wick,125.95290995121525
grace,125.19675168828431
paradis,124.89591352059618
princ,124.55684198662914
book,123.89518814560833
author,121.9722295710445
gate,121.58602003550428
jew,121.19578514084738
guardian,121.08497789098665
spirit,119.56948118718364
patienc,118.11566251012883
side,118.00802461246549
inhabit,117.56655847707303
jacob,117.54321258341048
religion,117.46163295389404
field,116.47419927395376
mari,115.97477684055363
put,113.50291696684738
nation,112.9877346513982
reign,112.23258822768778
piou,111.5142085005323
apostl,111.5142085005323
warn,111.3192845534393
young,109.02926666686275
burn,108.50299263037402
cut,108.20124445368889
river,107.01386456176195
moab,106.2644855695087
awar,105.79333435646143
bring,104.56345193822395
anger,104.00080713255593
statut,103.57424542850848
ignor,102.7375661912942
disbelief,102.59307182048973
worldli,102.59307182048973
captiv,101.38721941766157
ram,101.16392284922732
simon,101.10621570714929
ephraim,100.92852033615253
servant,100.29126948478718
majest,99.76850333311347
wall,99.04227603179706
prayer,99.00902876327416
border,98.9113698674332
susten,98.82098503411113
strive,98.77597861235799
famili,98.71152223656205
deliv,97.47348479983421
reason,97.45387004066289
chariot,97.32516219643205
mean,96.88813880616314
group,96.85055446340223
grain,96.84767721777864
jinn,96.64564736712799
wilder,95.66642931843975
mankind,95.61209064414004
demon,95.4573660851319
benefit,95.4573660851319
solomon,95.24886242177314
baptiz,95.15879125378756
bull,94.97650839099228
bronz,94.8771342277106
desol,94.15101450648064
head,93.89662628652891
tent,92.87101056612418
meet,92.49659324646049
assuredli,92.43936190862061
joab,92.14072482925752
love,92.02016975004834
dwelt,90.96307641073665
midst,90.77611093013158
power,89.96068501797083
fact,89.46570881865534
synagogu,89.21136680042585
shekel,88.77792465300726
water,87.62082410366963
pagan,87.5504643901285
tribe,86.72004276301467
manasseh,85.73178976117165
doubt,85.47133030971274
sanctuari,85.26911129175039
flock,85.12391090179696
heaven,85.10288612518467
condemn,83.84030515898846
benjamin,83.80965112286728
spoke,83.52771567498574
lift,82.89050578482261
month,82.39064847550765
jeremiah,82.37861093408796
thirti,82.24811092721433
gilead,82.05232430050671
war,81.87263992047511
benefic,81.77708623372371
dwell,81.66053293982134
ark,81.63010921308805
built,80.5119698667439
jordan,80.17823394852405
pillar,79.81423728494283
wit,79.61953224250045
parabl,79.34500076734605
disput,79.2459978824942
belief,78.80337400704282
assyria,78.68952412425642
captain,78.54187339379195
glorifi,78.4576290189052
scriptur,78.36450540875094
baal,78.06901953482755
teacher,77.77465474313452
congreg,77.51286558201157
abomin,76.75804002787675
north,76.72447720113536
strength,76.15172914191415
mighti,76.13195638900287
crucifi,75.82966178036197
samuel,75.67452603956622
pass,75.5786513980836
accus,74.83947876698477
boat,74.34280566702154
mountain,74.2557691219825
gather,73.7851772481169
protect,73.37686167548925
behold,73.34911493784854
creation,72.85594955368111
remind,72.85594955368111
pilat,72.85594955368111
devil,72.85594955368111
judgment,72.73721042696849
armi,72.64969664312225
fifti,72.59612477835911
hardship,72.42279443910981
hezekiah,72.14148624474649
jonathan,71.96392377175589
zion,71.53627340827799
number,70.79613273471492
galile,70.45393597076922
brought,70.22721603756175
tax,69.81681677998074
wood,68.88947827474504
edom,68.6011235955056
beth,68.6011235955056
manifest,68.39538121365982
plunder,67.63456336692829
sacrific,67.12869606106094
parent,66.9085251003194
incens,66.90610985102872
make,66.72489066765868
curs,66.51453732442658
goat,66.45884364361979
court,66.285927807528
oil,66.20824386594897
astray,65.96529449608961
univers,65.42166898697894
inherit,64.8584617880718
coven,64.80367616019669
jeroboam,64.5657633840053
valley,64.53917224661132
greet,64.45537424744953
father,64.44685239355701
steadfast,64.12955657992853
exercis,63.115280162454326
mouth,63.09355087162493
sky,63.09348476674475
lion,63.02702991316698
sing,62.719556583966195
favor,62.57471616249584
mose,62.34579471801207
judea,62.0272443436072
testifi,61.90303000098387
absalom,61.87552324300506
recit,61.76828699936149
doer,60.96110064695766
south,60.56033815471987
bow,60.39460007805937
liar,60.252263422851996
firstborn,59.918360163666385
suffici,59.52850958893116
aton,59.185283102004846
terribl,58.68742150721239
egyptian,58.20132537695789
jame,57.987388420276815
news,57.96201502909615
question,57.79223773500871
bodi,57.74444842788054
east,57.63020105369493
leader,57.594629716654595
assembl,57.31989316753833
hill,57.253687289010045
ahab,57.167602996254686
muslim,56.500532306936364
herod,56.500532306936364
nebuchadnezzar,56.49504296100463
submit,56.09557936821569
whomev,56.041163584932285
recompens,56.000398223048684
way,55.88753755432093
lose,55.852373274398175
break,55.444697551367994
injustic,55.272502698840555
ammon,55.14992289050451
unseen,55.013676193595934
prevent,55.013676193595934
admit,55.013676193595934
dweller,54.60451771065112
donkey,54.42050169519307
lip,54.38708412056019
esau,54.251893088173986
knowledg,54.2447331407659
fat,54.20379974409992
deserv,54.09600877091614
merci,53.76992748928265
virtu,53.52682008025551
told,53.419320052090406
spend,53.40586509476204
cover,53.21880492294184
member,52.896667178230715
sail,52.86071658314739
invent,52.8192716499949
subject,52.8192716499949
redeem,52.51923992084053
amorit,52.459682749504296
will,52.03996396691507
hypocrit,51.92075671915158
half,51.882314621273046
etern,51.78636444600025
battl,51.60775587833901
sweet,51.570257209652574
ten,51.372406684809675
share,51.36085168192638
chamber,51.183593601403615
possess,50.86067257186983
unlaw,50.553107853574645
decid,50.15238061957969
betray,49.942761695114555
rod,49.34040730902973
livestock,49.167888527063035
prostrat,49.15669248383114
kill,49.147066357856254
day,48.957606795459554
clear,48.74452405814194
result,48.6686471910355
worthi,48.492579713094784
permiss,48.492579713094784
gad,47.82417176835395
tradit,47.57939562689378
philip,47.57939562689378
canaan,47.572651553428635
lost,47.54618969468133
fine,47.49693221948646
victori,47.49531193392151
hors,47.33705214561394
control,47.18509220162251
virtuou,47.18509220162251
chaldean,47.15234145523523
rest,47.01884781594537
fled,47.007382099108476
arm,46.87224332722665
remnant,46.652605993049846
jehoshaphat,46.652605993049846
imag,46.5991979384926
dead,46.55534111914537
pray,46.41551712972489
dan,46.406642432253804
male,46.25154895123349
respit,46.09253951355335
broken,45.833493799568494
morn,45.453360318767544
happi,45.228412551695556
common,45.00269990805258
seventh,44.950184963241924
samaria,44.92451244329381
crimin,44.605683400212925
command,44.602785570562695
wrong,44.553787040720024
hebron,44.38896232650363
cedar,44.38896232650363
greater,44.36579553223768
crowd,44.21858242714701
punish,44.11616193099269
doctrin,44.02611700529356
accept,43.98018258462421
devour,43.76028794024522
stori,43.67193945967858
daniel,43.30403577283307
syrian,43.12180375521152
public,43.11882728687249
retribut,43.11882728687249
blind,42.942077884193424
spiritu,42.73566515485637
attract,42.73566515485637
greek,42.73566515485637
territori,42.450130211041724
reuben,42.450130211041724
abimelech,42.37128222075347
enter,42.12741559417926
skin,41.86627629366564
horn,41.798108726061756
eleazar,41.69872218550341
selah,41.69872218550341
bethel,41.69872218550341
heavenli,41.63197117353206
religi,41.63197117353206
be,41.63197117353206
pieti,41.63197117353206
disregard,41.63197117353206
barnaba,41.63197117353206
knew,41.36265850142166
enemi,41.34607789979276
unclean,41.34077046778069
anoint,41.32647523579965
wicked,41.28564993217029
bounti,41.25962344749922
prefer,41.25300200134315
disobey,41.09502647651769
furi,41.026162150253356
respons,40.954348917024234
word,40.46993461284784
fellow,40.39378465910661
build,40.19966995509455
eye,40.18085198827315
gentil,40.17309549204727
serv,40.167467727419904
inevit,40.145115060191635
caesar,40.145115060191635
nazareth,40.145115060191635
shield,39.957527865084906
error,39.87716052377046
recal,39.77061837848508
bore,39.7283256839165
abner,39.68104207975324
lebanon,39.68104207975324
canaanit,39.68104207975324
utterli,39.51059355442567
top,39.51059355442567
pour,39.42085087877601
famin,39.242687595880206
zedekiah,39.00848204450319
juda,38.6582589468512
mosqu,38.6582589468512
mordecai,38.33592200925313
height,38.24365222558194
door,38.23192315782054
enjoy,38.191759312627454
obedi,38.01007804604452
voic,37.8203668342982
length,37.74922922973013
width,37.74922922973013
cherubim,37.74922922973013
abram,37.66336197400308
articl,37.66336197400308
bashan,37.66336197400308
start,37.574841405396555
town,37.347930646439295
prais,37.270831891323056
falsehood,37.18579852200792
conscienc,37.17140283351077
brook,37.0778056469797
properti,37.03433258881147
buri,37.01304432256542
consecr,36.905287605909436
dri,36.8004504885897
wing,36.79422243661947
sight,36.44194136644727
creatur,36.35894744168195
stone,36.34368122357237
jehu,36.31824190350297
oxen,36.25527183162735
reproach,36.18170500189283
counsel,36.06471993446197
legaci,35.68454672017034
thamud,35.68454672017034
laban,35.64568186825292
stranger,35.630780266869934
wast,35.605819663869454
pain,35.5636153390437
mind,35.51826961344434
descend,35.508459891149755
seventi,35.50552855418164
defil,35.425901932552485
privat,35.27950128253449
disobedi,35.27950128253449
spear,35.27683147344451
differ,35.23776047477959
exhort,35.212847766663266
heart,35.113660053467875
flour,35.06377415188619
neighbor,35.05760552965508
ephah,34.97312183300286
consid,34.89453933002185
entranc,34.60867060916071
eat,34.4457060432629
mortal,34.3684291660258
jehoiada,34.3005617977528
encamp,34.3005617977528
harlotri,34.3005617977528
islam,34.19769060682991
